pattern,cuisine
mac and cheese,american
meatloaf,american
fried chicken,american
clam chowder,american
pot roast,american
chicken pot pie,american
buffalo wing,american
coleslaw,american
cornbread,american
biscuits and gravy,american
chili,american
sloppy joe,american
grilled cheese,american
caesar salad,american
potato salad,american
deviled egg,american
pancake,american
french toast,american
hash brown,american
pulled pork,american
brisket,american
baby back rib,american
cheeseburger,american
meatball,american
shrimp scampi,american
crab cake,american
lobster roll,american
tuna salad,american
apple pie,american
brownie,american
chocolate chip cookie,american
cheesecake,american
banana bread,american
pumpkin pie,american
pecan pie,american
key lime pie,american
lemonade,american
birria,mexican
al pastor,mexican
carnitas,mexican
enchilada,mexican
quesadilla,mexican
burrito,mexican
guacamole,mexican
nachos,mexican
churro,mexican
elote,mexican
pozole,mexican
tamale,mexican
fajita,mexican
horchata,mexican
ceviche,mexican
agua fresca,mexican
fish taco,mexican
tteokbokki,korean
bulgogi,korean
bibimbap,korean
kimchi jjigae,korean
japchae,korean
galbi,korean
sundubu,korean
ramen,japanese
gyoza,japanese
teriyaki,japanese
katsu,japanese
miso soup,japanese
udon,japanese
tempura,japanese
edamame,japanese
fried rice,chinese
lo mein,chinese
kung pao,chinese
hot and sour soup,chinese
mapo tofu,chinese
egg roll,chinese
orange chicken,chinese
congee,chinese
pho,vietnamese
banh mi,vietnamese
spring roll,vietnamese
pad thai,thai
green curry,thai
tom yum,thai
massaman,thai
butter chicken,indian
tikka masala,indian
samosa,indian
naan,indian
biryani,indian
korma,indian
hummus,mediterranean
falafel,mediterranean
kebab,mediterranean
shawarma,mediterranean
tabbouleh,mediterranean
tzatziki,mediterranean
baba ganoush,mediterranean
gyro,mediterranean
greek salad,mediterranean
shakshuka,mediterranean
baklava,mediterranean
watermelon salad,light
cucumber salad,light
gazpacho,light
fruit salad,light
caprese,light
sorbet,light
granita,light
almond cake,nut
marzipan,nut
macaron,nut
biscotti,nut
frangipane,nut
romesco,nut
